regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.07496251874062969,0,-1,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Basilicata,0.8583690987124464,0,-1,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Calabria,0.0,0,-4,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Campania,0.22601191699198686,1,-17,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Emilia-Romagna,0.9502762430939227,-5,-28,10,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Friuli Venezia Giulia,0.22839741149600304,-1,-5,2,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Lazio,0.4927456884752258,-7,-14,7,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Liguria,1.7225747960108795,1,-22,7,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Lombardia,2.565295794310977,-8,-2,56,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Marche,0.36101083032490977,0,-1,3,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Molise,1.2468827930174564,0,0,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
P.A. Bolzano,0.0,0,1,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
P.A. Trento,0.32051282051282054,0,-4,1,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Piemonte,1.1398176291793314,-3,-123,14,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Puglia,0.3929273084479371,0,-18,4,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Sardegna,0.0,0,0,1,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Sicilia,0.0,-1,-8,1,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Toscana,0.33888731996611127,-2,-5,2,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Umbria,0.07616146230007616,0,-1,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Valle d'Aosta,0.0,0,1,0,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
Veneto,0.07751337105650724,2,-10,11,0.9239055379091285,-1.0952380952380953,-12.476190476190476,5.666666666666667
