regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,6.306529550241605,10.24813395198709,1,8,4,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Basilicata,4.612045577862181,6.703470031545741,-1,0,6,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Calabria,7.513348588863463,8.277310924369749,1,-12,4,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Campania,8.0,8.570203381524136,5,9,9,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Emilia-Romagna,4.870404282293281,9.190197123068726,1,-34,44,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Friuli Venezia Giulia,3.458382180539273,5.4201017365374495,-2,-3,25,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Lazio,3.642372211645533,8.612040133779264,-2,9,38,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Liguria,4.328732747804266,7.1688311688311686,-1,-22,28,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Lombardia,5.328050537515239,6.840430246142691,-5,-9,50,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Marche,7.941712204007286,11.065989847715736,1,-1,6,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Molise,8.705357142857142,8.705357142857142,2,1,1,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
P.A. Bolzano,8.577540106951872,13.084426505213589,-1,-13,4,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
P.A. Trento,8.345842089462623,3.250145095763204,-4,-11,2,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Piemonte,3.7037037037037037,9.490221224751522,-7,-14,21,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Puglia,9.420142421159715,10.920897284533648,-11,11,31,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Sardegna,4.538852578068265,4.832424006235386,2,-9,6,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Sicilia,3.2516530532866588,7.892004153686397,-5,-16,23,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Toscana,4.213533297625424,6.526872579578729,4,0,11,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Umbria,3.922225947033188,8.220140515222482,4,11,8,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Valle d'Aosta,3.755868544600939,5.369127516778524,0,-1,1,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
Veneto,2.2329105760963026,5.711152353635904,-14,-71,63,4.7597970305268635,7.996410922580386,-1.5238095238095237,-7.9523809523809526,18.333333333333332
