Data,positiviMolecolariInItalia,positiviMolecolariInVeneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressiOrdinariInItalia,ingressiOrdinariInVeneto,decedutiInItalia,decedutiInVenetoPopolosoQuantoItalia,letalitaItaliana,letalitaVeneta
24-02-2020,5.111008325624422,1.4545454545454546,26,48.89515247893427,101,146.6854574368028,7,12.223788119733568,3.056768558951965,3.0303030303030303
25-02-2020,2.1632937892533146,0.6329113924050633,9,36.6713643592007,-4,-411.5916236292178,3,0.0,3.1055900621118013,2.3255813953488373
26-02-2020,8.091286307053942,2.5,1,12.223788119733568,6,-88.30205539747168,2,12.223788119733568,3.0,2.816901408450704
27-02-2020,10.300782859497321,3.1645569620253164,20,0.0,139,36.6713643592007,5,0.0,2.6153846153846154,1.8018018018018018
28-02-2020,6.465634338494974,3.2,8,12.223788119733568,85,-76.0782672777381,4,0.0,2.364864864864865,1.3245033112582782
29-02-2020,8.091706001348618,3.21285140562249,41,24.447576239467136,89,-274.3944157528119,8,0.0,2.5709219858156027,1.0471204188481675
01-03-2020,22.952149229521492,18.1360201511335,35,24.447576239467136,232,55.64786347999444,5,0.0,2.0070838252656436,0.7604562737642585
02-03-2020,15.419296663660957,1.3774104683195592,26,12.223788119733568,94,-112.74963163693882,18,0.0,2.5540275049115913,0.7326007326007326
03-03-2020,18.558343289526086,8.629441624365482,63,61.11894059866784,329,-734.881191860964,27,12.223788119733568,3.1574740207833734,0.9771986970684039
04-03-2020,14.74503893494097,15.634218289085545,66,48.89515247893427,315,-218.74655227281744,28,36.6713643592007,3.463904176108773,1.6666666666666667
05-03-2020,30.455445544554454,3.2775453277545328,56,12.223788119733568,434,58.38340203933114,41,48.89515247893427,3.83618455158113,2.457002457002457
06-03-2020,19.46459844883663,7.5418994413407825,111,36.6713643592007,659,-105.99692063587862,49,24.447576239467136,4.249352890422778,2.459016393442623
07-03-2020,21.86568472733649,3.9118065433854907,105,171.13303367626995,251,-1847.4181815512818,36,12.223788119733568,3.9605643379228286,2.394106813996317
08-03-2020,18.946031746031746,8.529214237743451,83,73.3427287184014,884,-542.0361205045635,133,61.11894059866784,4.96271186440678,2.6865671641791047
09-03-2020,46.207251221393676,12.415989942743632,83,48.89515247893427,759,-59.83730671628107,97,24.447576239467136,5.04797208896642,2.6881720430107525
10-03-2020,14.087959625090123,16.302765647743815,144,195.58060991573709,783,-1975.127139867291,168,73.3427287184014,6.217361316385851,3.0373831775700935
11-03-2020,18.663761801016705,3.510615934412445,151,12.223788119733568,807,571.782503068141,196,36.6713643592007,6.636173968865351,2.8347996089931575
12-03-2020,20.61911799019989,17.713444553483807,125,207.80439803547065,786,-1134.4212981650114,189,36.6713643592007,6.722689075630252,2.3121387283236996
13-03-2020,22.192210507972465,9.365290723479804,175,268.9233386341385,826,-2944.9958445625293,250,122.23788119733568,7.168742921857304,2.633228840125392
14-03-2020,29.934942646807052,26.532195500387896,190,146.6854574368028,961,-1646.3664945168712,175,158.90924555653638,6.810984544122513,2.839442436757873
15-03-2020,22.824082904189712,4.2220625224577795,154,122.23788119733568,1255,-638.5447915800454,368,97.79030495786854,7.309976966905079,2.9005524861878453
16-03-2020,24.74929189313328,12.011173184357542,179,330.0422792328063,1387,-2824.2118680421436,349,73.3427287184014,7.7126518942101505,2.7901334411645773
17-03-2020,32.96867695184666,54.225352112676056,209,183.35682179600352,1899,-1446.7687121594108,345,134.46166931706924,7.9445185044118585,2.9585798816568047
18-03-2020,24.917081260364842,9.50960283423457,197,293.3709148736056,1457,-2094.801753299853,475,171.13303367626995,8.338700193206956,2.924704418170504
19-03-2020,30.877233696913436,7.07361802462667,241,171.13303367626995,1438,-392.7873953029872,427,256.6995505144049,8.29779456561472,3.3008036739380024
20-03-2020,24.828902069766478,11.81425485961123,157,330.0422792328063,179,-2824.2118680421436,627,195.58060991573709,8.574892069500862,3.2498139419498884
21-03-2020,24.8974787363305,13.458888378502527,202,158.90924555653638,1733,-573.408678539654,793,183.35682179600352,9.00556198439658,3.1622265540394197
22-03-2020,22.081016679904685,12.534127575080666,152,73.3427287184014,2088,1267.0845212160045,651,281.14712675387204,9.259697656329264,3.299492385786802
23-03-2020,28.061643032930974,11.120789779326365,195,317.81849111307275,889,-2430.3151096513325,601,281.14712675387204,9.506155458569932,3.4877384196185286
24-03-2020,24.418496464458503,8.749753110803871,192,281.14712675387204,1242,-1786.471511747177,743,293.3709148736056,9.858910604834046,3.6314727639542705
25-03-2020,18.95855318219861,10.512875079804214,93,146.6854574368028,1076,-558.4493518605838,683,513.3991010288098,10.086575430860647,4.004967401428128
26-03-2020,16.80458828349037,5.550551677550101,123,122.23788119733568,1671,-883.0205539747168,662,354.48985547227346,10.137945591576752,4.138428262436914
27-03-2020,18.047184954117327,14.52947259565667,120,146.6854574368028,1273,-558.4493518605838,969,317.81849111307275,10.559781729057319,4.1750033346672
28-03-2020,16.853330324145908,7.526507908917087,124,73.3427287184014,651,-542.0361205045635,889,598.9656178669449,10.838956657150273,4.564943253467844
29-03-2020,21.290401567091088,7.9200592153960025,50,134.46166931706924,636,-1179.127007407659,756,366.71364359200703,11.03399563922243,4.690117252931323
30-03-2020,17.360366925286126,7.097149505526469,75,12.223788119733568,434,437.32083375107175,812,256.6995505144049,11.392877854116907,4.7340669417698304
31-03-2020,13.688405552365834,6.844529140860727,42,0.0,364,574.5180416274777,837,782.3224396629483,11.747580157289777,5.210267613326051
01-04-2020,13.878972572921201,7.221880762138906,12,-73.3427287184014,181,1287.6871958083111,727,268.9233386341385,11.897010147050844,5.184415584415585
02-04-2020,11.725991609937452,6.416688671771851,18,-61.11894059866784,143,99.24420963481849,760,403.38500795120774,12.074590860970826,5.261596281277816
03-04-2020,11.873009296423854,5.721231766612642,15,-122.23788119733568,198,1909.8187560323368,766,488.9515247893427,12.25182972118137,5.466360856269113
04-04-2020,12.856187290969899,5.294896308280629,-74,-134.46166931706924,180,1228.0221598865933,681,427.8325841906749,12.325887412542524,5.60790835181079
05-04-2020,12.606244706019803,5.274898307308752,-17,61.11894059866784,-4,-893.7904374175005,525,293.3709148736056,12.320470267084406,5.620880099768395
06-04-2020,11.889266955171616,6.731126812941614,-79,-85.56651683813497,-35,1449.3319799241842,636,378.9374317117406,12.465766860057187,5.712806351397998
07-04-2020,9.014326817548127,4.645712710228839,-106,-305.5947029933392,-285,1779.7188007461168,604,403.38500795120774,12.631835145221483,5.828092243186583
08-04-2020,7.422600619195046,4.997424008243174,-99,-146.6854574368028,-226,1340.771791523532,542,501.1753129090763,12.673035819311156,5.930701047542304
09-04-2020,9.090909090909092,6.371056157875502,-88,-134.46166931706924,-75,1215.7983717668596,610,244.47576239467136,12.726804339047249,5.845511482254698
10-04-2020,7.3857369847649315,5.279099956728689,-108,-207.80439803547065,-177,2222.338440821299,570,452.280160430142,12.772315469212682,5.9086506221593025
11-04-2020,8.291967708314932,3.3979631805718764,-116,-73.3427287184014,-106,138.65111255335583,619,464.5039485498756,12.785100248898345,6.035735037768739
12-04-2020,8.758561643835616,4.103585657370518,-38,-24.447576239467136,-219,-177.8857446773301,431,305.5947029933392,12.726156443659946,6.080841088300064
13-04-2020,8.587302884222566,3.7540453074433655,-83,-48.89515247893427,131,536.5650433858902,566,317.81849111307275,12.829434037964843,6.18903936565855
14-04-2020,11.098248627656,3.1201516979831063,-74,-146.6854574368028,-3,1646.3664945168712,602,293.3709148736056,12.965265127270937,6.277716186252771
15-04-2020,6.100880704563651,2.5716581837664076,-107,-171.13303367626995,-401,1615.166207276344,578,415.6087960709413,13.105870243104961,6.427789934354486
16-04-2020,6.206659125559435,4.460694698354661,-143,-122.23788119733568,-786,1200.8390450877896,525,501.1753129090763,13.12292457130004,6.544362908605737
17-04-2020,5.316185982801918,3.1545223034584735,-124,-146.6854574368028,-1088,1291.8766390445978,575,550.0704653880106,13.19055406706334,6.67360478730324
18-04-2020,5.655731065208586,2.9980201753558973,-79,-85.56651683813497,-734,80.26771051402471,482,403.38500795120774,13.202785277817252,6.74866173846546
19-04-2020,6.00891378086298,2.8696268304204064,-98,-73.3427287184014,7,542.0361205045635,433,342.2660673525399,13.219945019332632,6.821462190147474
20-04-2020,5.438372345298074,3.8300418910831837,-62,-48.89515247893427,-91,658.802924583226,454,305.5947029933392,13.305890921932594,6.895268803869287
21-04-2020,5.235391167555538,3.8159526105524177,-102,-36.6713643592007,-812,-114.0312655193256,534,513.3991010288098,13.398783411340693,7.034869544013655
22-04-2020,5.340644363797721,3.5254380409541906,-87,-171.13303367626995,-314,1615.166207276344,437,330.0422792328063,13.39102211640607,7.055801170988171
23-04-2020,3.969516037084821,1.3577668059248007,-117,-281.14712675387204,-964,2959.9551712415996,464,305.5947029933392,13.448753243882026,7.144126532788342
24-04-2020,4.837702371611126,3.945130937535427,-94,-122.23788119733568,-780,1005.2584351720525,420,464.5039485498756,13.455858731359523,7.220384235881363
25-04-2020,3.6046920641717772,1.6069834341831168,-71,-12.223788119733568,-512,-522.8873505892067,415,537.846677268277,13.505945707982043,7.406129607268127
26-04-2020,4.655821780591394,0.8525149190110827,-93,-61.11894059866784,-183,588.1957344241612,260,330.0422792328063,13.478689768559505,7.526758628584512
27-04-2020,5.433865575102335,2.9459901800327333,-53,-12.223788119733568,-979,161.64478411587308,333,354.48985547227346,13.528137442707132,7.6454860913590075
28-04-2020,3.6509987428411788,1.5748992796972288,-93,-36.6713643592007,-670,20.430403797743644,382,782.3224396629483,13.577330587330339,7.951208493336345
29-04-2020,3.2682093784761936,1.2396694214876034,-68,-73.3427287184014,-488,517.5885442650964,323,354.48985547227346,13.596868230913941,8.0617110799439
30-04-2020,2.7346032488021503,1.166709878143635,-101,0.0,-1094,-366.71364359200703,285,268.9233386341385,13.611696509833887,8.123608017817372
01-05-2020,2.647962483829237,1.0429262394195888,-116,-48.89515247893427,-595,120.95624731494891,269,244.47576239467136,13.612434194033593,8.172173720853133
02-05-2020,3.4288601746914025,1.4790468364831553,-39,-24.447576239467136,-135,188.82789891467692,474,281.14712675387204,13.71531758770924,8.241878841088674
03-05-2020,3.091131634583287,1.3012181616832779,-38,-61.11894059866784,-114,502.62921758602624,174,171.13303367626995,13.707484445963068,8.276012665138115
04-05-2020,3.2446653025431162,1.007695126419934,-22,-24.447576239467136,-403,274.3944157528119,195,146.6854574368028,13.720522039464372,8.316551461383552
05-05-2020,1.945243653077104,0.3976961053208996,-52,-36.6713643592007,-583,57.101768156944345,236,207.80439803547065,13.762070859525005,8.395826540593413
06-05-2020,2.2470161679348926,0.8696634289586628,-94,-97.79030495786854,-543,804.206748137642,369,281.14712675387204,13.841469385471214,8.485307646517668
07-05-2020,1.9912164755042,0.7111281952719585,-22,-36.6713643592007,-523,44.87798003721078,274,256.6995505144049,13.878568318060948,8.564652616827468
08-05-2020,2.080752646021168,0.6053832541678309,-143,-97.79030495786854,-659,596.4023501021713,243,464.5039485498756,13.905656467988122,8.738854871629606
09-05-2020,1.5656850414190917,0.47469771607702643,-134,-476.72773666960916,-793,510.07101176533916,194,195.58060991573709,13.92554107794088,8.799742916822881
10-05-2020,1.5519176438716669,0.6884449244060475,-7,-36.6713643592007,-89,81.54934439641148,165,171.13303367626995,13.94987903409869,8.85055015489798
11-05-2020,1.8262150220913107,0.2976656744477518,-28,12.223788119733568,-100,-234.9875128342745,179,110.01409307760211,13.98409564449944,8.889600341497252
12-05-2020,2.0924436219273765,0.49492998551424433,-47,-61.11894059866784,-693,600.4195225438948,172,244.47576239467136,13.973220743526689,8.976679799808327
13-05-2020,1.43288206154293,0.34578918014500837,-59,-36.6713643592007,-705,57.101768156944345,195,317.81849111307275,14.005150740193782,9.10009036304683
14-05-2020,1.3801547108909789,0.2823363331568731,-38,-48.89515247893427,-698,279.8654928714853,262,378.9374317117406,14.060314842041095,9.249137702308305
15-05-2020,1.1572987561605257,0.43345483203625257,-47,-24.447576239467136,-670,-104.5430159589287,242,232.2519742749378,14.118855662505304,9.328180422468103
16-05-2020,1.2648347041732317,0.3143640174109302,-33,-48.89515247893427,-378,292.08928099121886,153,256.6995505144049,14.131962982737141,9.419907016060861
17-05-2020,1.1231094324553668,0.1362255056062035,-13,24.447576239467136,-69,-482.19881378828256,145,134.46166931706924,14.15396899327966,9.471516815374056
18-05-2020,1.2388067900895456,0.1399036219493238,-13,0.0,-104,-122.23788119733568,99,110.01409307760211,14.169536846019673,9.514511873350923
19-05-2020,1.287247854586909,0.43603302718248443,-33,-48.89515247893427,-236,499.8936790266895,162,207.80439803547065,14.190181694670025,9.58046007264305
20-05-2020,0.9896569685244437,0.2538852131097092,-40,-24.447576239467136,-374,225.49926327387763,161,146.6854574368028,14.219489453035662,9.626904887020494
21-05-2020,0.8956598166827104,0.06794055201698514,-36,-12.223788119733568,-351,-82.83097827879827,156,110.01409307760211,14.247870670070085,9.670133417375775
22-05-2020,0.8649509153621651,0.18485915492957747,-45,-36.6713643592007,-321,142.66828499507932,130,158.90924555653638,14.26409747308207,9.72768770659531
23-05-2020,0.9239055379091285,0.07751337105650724,-23,24.447576239467136,-240,-396.63229695014763,119,134.46166931706924,14.274376763311777,9.780271645078399
24-05-2020,0.9512037833190026,0.17215189873417722,-19,-36.6713643592007,-78,167.11586123454646,50,48.89515247893427,14.263153773199106,9.792518076076705
25-05-2020,0.8512811781731506,0.14725568942436412,-12,-12.223788119733568,-421,63.85447915800454,92,110.01409307760211,14.284534971628187,9.83400534115306
26-05-2020,0.688351770295107,0.0662635633231177,-20,12.223788119733568,-276,-161.64478411587308,78,97.79030495786854,14.293769382576825,9.871761319026433
27-05-2020,0.8674469728477214,0.05540549899577533,-16,-24.447576239467136,-184,164.38032267520978,117,110.01409307760211,14.308273376626186,9.914717731387015
28-05-2020,0.7813632350809693,0.07775545908118967,-16,0.0,-350,-244.47576239467136,70,36.6713643592007,14.301865948595792,9.924183006535948
29-05-2020,0.7153254314826367,0.06963249516441006,-14,-24.447576239467136,-283,139.93274643574264,87,97.79030495786854,14.307550549412698,9.961325389359256
30-05-2020,0.5999250093738283,0.07945967421533572,-25,0.0,-425,-207.80439803547065,111,122.23788119733568,14.329677130969982,10.007312232320066
31-05-2020,0.6559739827783732,0.06238951856088177,-15,-12.223788119733568,-283,39.406902918537405,75,24.447576239467136,14.340032357876396,10.014619883040936
01-06-2020,0.5669873224182965,0.032435939020434644,-11,0.0,-284,-24.447576239467136,60,0.0,14.354815885281543,10.013574188159131
02-06-2020,0.6096742652274775,0.05581525151747715,-16,-12.223788119733568,-188,51.63069103827097,55,36.6713643592007,14.358820632507548,10.025049577288383
03-06-2020,0.8606128850639427,0.041788549937317176,-55,-36.6713643592007,-213,448.2629879884185,71,0.0,14.369472621837527,10.024003339595074
04-06-2020,0.3543330730887034,0.03502013657853266,-15,0.0,-199,-110.01409307760211,88,158.90924555653638,14.396208757633122,10.089732888146912
05-06-2020,0.796579934797318,0.08540925266903915,-22,0.0,-209,-12.223788119733568,85,48.89515247893427,14.40065492408253,10.107437154480024
06-06-2020,0.37249086017796784,0.038778477944740666,-23,0.0,-300,-171.13303367626995,72,134.46166931706924,14.414759732709827,10.160567198415182
07-06-2020,0.39815675653825944,0.008565310492505354,-6,-12.223788119733568,-121,124.97341975667237,53,61.11894059866784,14.425229150886391,10.186102278058698
08-06-2020,1.0327530244910004,0.09002925950934054,-4,0.0,-133,12.223788119733568,65,12.223788119733568,14.435688844685862,10.189190597800595
09-06-2020,0.5145173899605476,0.03375527426160337,-20,-12.223788119733568,-164,76.0782672777381,79,73.3427287184014,14.451882951761965,10.218331509561773
10-06-2020,0.3221741973556197,0.026742734890354787,-14,0.0,-255,-134.46166931706924,71,0.0,14.469615673366897,10.216734396165469
11-06-2020,0.6066717889614547,0.07013606396409033,-13,0.0,-188,-171.13303367626995,53,36.6713643592007,14.46883654750108,10.229699463513725
