Data,tassoDiPositivitaAiTamponiMolecolariItalia,tassoDiPositivitaAiTamponiMolecolariVeneto,ingressiInTerapiaIntensivaMediaRegionale,ingressiInTerapiaIntensivaVeneto,ingressiNeiRepartiOrdinariMediaRegionale,ingressiNeiRepartiOrdinariVeneto,decedutiItalia,decedutiVenetoSePopolosoQuantoItalia
01-03-2020,8.018175794007668,2.9041519434628977,140,158.90924555653638,639,623.413194106412,34,24.447576239467136
08-03-2020,19.718847622353348,5.931215389099388,510,415.6087960709413,2918,1161.259871374689,332,195.58060991573709
15-03-2020,23.174408366905897,9.032956458984845,1022,1002.3506258181526,6106,3422.660673525399,1443,550.0704653880106
22-03-2020,25.76046980217673,11.74129353233831,1337,1540.1973030864297,10183,8397.74243825696,3667,1295.7215406917583
29-03-2020,19.70627926472693,8.719316681486271,897,1222.3788119733567,7540,5781.851780633978,5303,2725.9047507005857
05-04-2020,13.165509137391496,6.21775137666392,71,-317.81849111307275,1563,1075.693354536554,5108,2921.485360616323
12-04-2020,8.601270032503797,4.95550302440381,-634,-977.9030495786855,-1102,-3007.0518774544576,4012,2750.3523269400525
19-04-2020,6.527827502973888,3.2394734547990587,-708,-794.5462277826819,-2814,-2004.7012516363052,3761,2823.6950556584543
26-04-2020,4.662717704017272,2.5361600951060037,-626,-733.4272871840141,-3661,-2041.3726159955058,2984,2787.0236912992536
03-05-2020,3.2924948183977802,1.3696414999757442,-508,-256.6995505144049,-4130,-1735.7779130021665,2240,2456.9814120664473
10-05-2020,2.0267384869219196,0.6588388780169602,-474,-806.7700159024155,-3624,-6686.412101494261,1676,1723.5541248824331
17-05-2020,1.4497275924272517,0.32654400143142576,-265,-183.35682179600352,-3307,-1650.2113961640316,1348,1674.6589724034989
24-05-2020,1.0005610199705013,0.1904861996032632,-209,-134.46166931706924,-1698,-1075.693354536554,877,916.7841089800175
31-05-2020,0.7321756573019524,0.07581065714055985,-118,-61.11894059866784,-2226,-892.3365327405504,630,598.9656178669449
07-06-2020,0.5531084752205168,0.04076962531399187,-148,-61.11894059866784,-1523,-378.9374317117406,484,440.05637231040845
14-06-2020,0.5182426083402961,0.05394470667565745,-78,0.0,-1270,-501.1753129090763,446,293.3709148736056
21-06-2020,0.41523214501776423,0.040388349514563104,-61,0.0,-1280,-146.6854574368028,289,293.3709148736056
28-06-2020,0.5483741055991086,0.0447127207690588,-50,0.0,-1154,-146.6854574368028,104,73.3427287184014
05-07-2020,0.4019538479125279,0.07748051592908253,-24,12.223788119733568,-215,0.0,123,183.35682179600352
12-07-2020,0.4824921886178429,0.1240761719803636,-6,12.223788119733568,-169,48.89515247893427,93,195.58060991573709
19-07-2020,0.45883210020117765,0.4090768755788824,-19,-12.223788119733568,-33,158.90924555653638,91,134.46166931706924
26-07-2020,0.5221333052216431,0.33416046319272125,-5,-12.223788119733568,-8,-24.447576239467136,62,171.13303367626995
02-08-2020,0.5480175073625815,0.5548118194239342,-2,36.6713643592007,-27,-48.89515247893427,47,134.46166931706924
09-08-2020,0.7493717706610143,0.6942061090137593,3,24.447576239467136,55,12.223788119733568,51,97.79030495786854
16-08-2020,1.0888472005019947,0.9626411815812337,11,-24.447576239467136,24,85.56651683813497,191,158.90924555653638
23-08-2020,1.2060770290080405,0.9101237523974737,13,0.0,184,97.79030495786854,41,97.79030495786854
30-08-2020,1.5332536149741491,0.9685255822873825,17,36.6713643592007,280,110.01409307760211,40,195.58060991573709
06-09-2020,1.4877171694190066,1.2077834936255871,47,61.11894059866784,432,330.0422792328063,64,122.23788119733568
13-09-2020,1.6897076283144168,1.1602951039570757,54,24.447576239467136,359,195.58060991573709,69,146.6854574368028
20-09-2020,1.6923812746463291,1.2163108155407771,35,-48.89515247893427,323,354.48985547227346,97,244.47576239467136
27-09-2020,1.7904470768055025,1.4121078466244577,32,134.46166931706924,481,293.3709148736056,128,171.13303367626995
04-10-2020,2.21780354383745,1.6829937104353765,49,-12.223788119733568,441,366.71364359200703,151,220.02818615520422
11-10-2020,3.794606255636632,3.2109477816689345,117,48.89515247893427,1232,733.4272871840141,180,293.3709148736056
18-10-2020,6.075713031154796,5.281313769312992,330,244.47576239467136,2612,1711.3303367626995,377,464.5039485498756
25-10-2020,10.017872860196512,9.182193944902508,458,330.0422792328063,4875,2530.3241407848486,795,892.3365327405504
01-11-2020,13.969918929368392,14.29653129882204,731,745.6510753037477,6896,3019.2756655741914,1488,1087.9171426562875
08-11-2020,16.048464772763623,18.915675175066387,810,647.8607703458791,7538,6393.041186620656,2568,1906.9109466784366
15-11-2020,16.18869262133456,18.948854667274706,673,684.5321347050798,5607,7077.573321325735,3835,3312.646580447797
22-11-2020,15.252319244598361,19.876217994877358,379,488.9515247893427,2232,3385.9893091661984,4594,4596.144333019822
29-11-2020,12.363963789595925,18.96945941531929,-48,366.71364359200703,-1400,2823.6950556584543,5081,5574.047382598507
06-12-2020,10.960354331399317,21.044654308033113,-299,-36.6713643592007,-2488,806.7700159024155,5174,6515.279067817992
13-12-2020,10.534630140303946,22.630410951578835,-296,391.16121983147417,-2656,1197.9312357338897,4442,7224.258778762539
20-12-2020,11.985233178490452,21.78457457830826,-415,-12.223788119733568,-2577,256.6995505144049,4279,7737.657879791348
27-12-2020,10.306408204036588,20.769547217043474,-163,256.6995505144049,-1587,-12.223788119733568,3126,7383.168024319075
03-01-2021,12.242342712880422,21.210110393919287,3,61.11894059866784,-496,757.8748634234812,3407,8862.246386806837
10-01-2021,12.542041665544174,17.623146006259354,32,-122.23788119733568,352,-1259.0501763325574,3423,7652.091362953213
17-01-2021,10.064813978777446,11.113036341252108,-112,-207.80439803547065,-670,-3569.3461309622016,3422,7199.811202523071
24-01-2021,8.118992567033517,8.087767534637987,-103,-635.6369822261455,-1448,-6075.222695507583,3284,7102.020897565203
31-01-2021,8.228325960905895,6.265150327427972,-185,-843.4413802616161,-1213,-4473.906451822486,3055,4547.249180540887
07-02-2021,8.182942514026337,5.813871445706625,-108,-782.3224396629483,-830,-3911.612198314742,2757,4278.325841906749
