regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.6938937351308485,1.017146178436501,0,0,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Basilicata,1.3050570962479608,1.4109347442680775,0,-1,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Calabria,1.1230907457322552,1.5615240474703311,-1,1,2,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Campania,0.9104013352552917,1.6170327449130846,-1,9,5,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Emilia-Romagna,0.22073701637132873,0.43129268000479215,0,-10,1,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Friuli Venezia Giulia,0.2332814930015552,0.297029702970297,0,-2,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Lazio,0.2977059132566692,0.7448234768359898,-5,-1,7,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Liguria,0.19091256204658266,0.34891835310537334,0,1,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Lombardia,0.3988128362084956,0.5488909008601177,-1,-30,2,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Marche,0.4363001745200698,0.48496605237633367,0,-5,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Molise,0.37593984962406013,0.37593984962406013,0,-4,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
P.A. Bolzano,0.08818342151675485,0.32894736842105265,0,0,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
P.A. Trento,0.6108202443280978,0.4728132387706856,0,0,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Piemonte,0.2252421352954426,0.5130084279956028,0,-10,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Puglia,0.4852349923748787,0.8930669800235017,-4,-11,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Sardegna,0.37403740374037403,0.7365684575389948,0,5,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Sicilia,0.9232169559846564,2.8046612680229113,-4,-7,3,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Toscana,0.28628907458991026,0.551826994780015,-4,-8,4,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Umbria,0.22166805209199225,0.49782202862476665,-2,-2,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Valle d'Aosta,0.9202453987730062,2.380952380952381,0,0,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
Veneto,0.2252740111770567,0.368111064366849,-1,-8,0,0.41942318502183595,0.7817744764709704,-1.0952380952380953,-3.9523809523809526,1.1428571428571428
