Data,Tasso di positivita ai tamponi molecolari Italia,Tasso di positivita ai tamponi molecolari Veneto,Ingressi in terapia intensiva Media Regionale,Ingressi in terapia intensiva Veneto,Ingressi nei reparti ordinari Media Regionale,Ingressi nei reparti ordinari Veneto,Deceduti Media Regionale,Deceduti Veneto
08-03-2020,19.718847622353348,5.931215389099388,24.285714285714285,34,138.95238095238096,95,15.80952380952381,16
15-03-2020,23.174408366905897,9.032956458984845,48.666666666666664,82,290.76190476190476,280,68.71428571428571,45
22-03-2020,25.76046980217673,11.74129353233831,63.666666666666664,126,484.9047619047619,687,174.61904761904762,106
29-03-2020,19.70627926472693,8.719316681486271,42.714285714285715,100,359.04761904761904,473,252.52380952380952,223
05-04-2020,13.165509137391496,6.21775137666392,3.380952380952381,-26,74.42857142857143,88,243.23809523809524,239
12-04-2020,8.601270032503797,4.95550302440381,-30.19047619047619,-80,-52.476190476190474,-246,191.04761904761904,225
19-04-2020,6.527827502973888,3.2394734547990587,-33.714285714285715,-65,-134.0,-164,179.0952380952381,231
26-04-2020,4.662717704017272,2.5361600951060037,-29.80952380952381,-60,-174.33333333333334,-167,142.0952380952381,228
03-05-2020,3.2924948183977802,1.3696414999757442,-24.19047619047619,-21,-196.66666666666666,-142,106.66666666666667,201
10-05-2020,2.0267384869219196,0.6588388780169602,-22.571428571428573,-66,-172.57142857142858,-547,79.80952380952381,141
17-05-2020,1.4497275924272517,0.32654400143142576,-12.619047619047619,-15,-157.47619047619048,-135,64.19047619047619,137
24-05-2020,1.0005610199705013,0.1904861996032632,-9.952380952380953,-11,-80.85714285714286,-88,41.76190476190476,75
31-05-2020,0.7321756573019524,0.07581065714055985,-5.619047619047619,-5,-106.0,-73,30.0,49
07-06-2020,0.5531084752205168,0.04076962531399187,-7.0476190476190474,-5,-72.52380952380952,-31,23.047619047619047,36
14-06-2020,0.5182426083402961,0.05394470667565745,-3.7142857142857144,0,-60.476190476190474,-41,21.238095238095237,24
21-06-2020,0.41523214501776423,0.040388349514563104,-2.9047619047619047,0,-60.95238095238095,-12,13.761904761904763,24
28-06-2020,0.5483741055991086,0.0447127207690588,-2.380952380952381,0,-54.95238095238095,-12,4.9523809523809526,6
05-07-2020,0.4019538479125279,0.07748051592908253,-1.1428571428571428,1,-10.238095238095237,0,5.857142857142857,15
12-07-2020,0.4824921886178429,0.1240761719803636,-0.2857142857142857,1,-8.047619047619047,4,4.428571428571429,16
19-07-2020,0.45883210020117765,0.4090768755788824,-0.9047619047619048,-1,-1.5714285714285714,13,4.333333333333333,11
26-07-2020,0.5221333052216431,0.33416046319272125,-0.23809523809523808,-1,-0.38095238095238093,-2,2.9523809523809526,14
