Regione,Rapporto giornaliero su tamponi totali,Rapporto giornaliero su tamponi molecolari,Ingressi giornalieri in intensiva,Ingressi giornalieri fuori dall'intensiva,Deceduti giornalieri,Rapporto settimanale su tamponi totali,Rapporto settimanale su tamponi molecolari,Ingressi settimanali in intensiva,Ingressi settimanali fuori dall'intensiva,Deceduti settimanali,Letalita,Rapporto Italiano su tamponi totali,Rapporto Italiano su tamponi molecolari,Ingressi in intensiva in Italia,Ingressi in ospedale non intensiva in Italia,Deceduti in Italia,Rapporto Italiano su tamponi totali settimanali,Rapporto Italiano su tamponi molecolari settimanali,Ingressi in intensiva in Italia settimanali,Ingressi in ospedale non intensiva in Italia settimanali,Deceduti in Italia settimanali,Tasso di mortalita nazionale
Abruzzo,0.9062075215224287,1.2271869100062933,0,-4,1,0.5790286355979787,0.9457915450044433,1,-25,5,3.3630545960853615,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Basilicata,3.674540682414698,4.160475482912333,0,-4,0,2.570694087403599,2.849679411066255,0,-10,2,2.1908942121708077,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Calabria,1.1655011655011656,1.8083182640144666,2,-5,2,2.4831594241183463,3.46799483490131,-2,-45,6,1.7777971595947262,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Campania,0.7910163147114909,1.4353453799820581,-2,-11,7,0.7671500659180798,1.4276045852544308,-3,-82,29,1.7464033530944378,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Emilia-Romagna,0.4321469299561851,0.8501594048884166,-2,-7,1,0.4177737528727285,0.9571081097114833,-19,-58,12,3.428354100260794,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Friuli Venezia Giulia,-0.5636978579481398,5.299345966795237,0,1,2,0.4239159233418705,-2.164792750461487,-1,3,-10,3.5436570690671583,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Lazio,0.44505620555173203,1.0845986984815619,-1,-2,3,0.4224253016632593,1.131676172029126,-7,-114,13,2.405709109745828,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Liguria,0.1149029070435482,0.3427004797806717,0,-4,0,0.20754899121536827,1.1333631230450503,-1,-11,6,4.206728444023137,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Lombardia,0.47202850443097727,0.7299270072992701,-7,-29,4,0.4448031140965085,0.7375433987050765,-25,-175,19,4.013985049644311,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Marche,0.6458557588805167,0.7697241821680565,1,0,0,0.73545162441985,0.8896182414924857,-2,-13,6,2.929052064527963,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Molise,1.829268292682927,1.829268292682927,0,2,0,1.4174344436569808,1.4174344436569808,0,2,0,3.586297567745234,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
P.A. Bolzano,0.1529051987767584,0.718132854578097,0,0,0,0.2501945957967308,1.2305168170631666,1,-3,0,1.6103938641264295,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
P.A. Trento,0.26024723487312945,0.48231511254019294,0,1,0,0.34370645610775663,0.4539951573849879,1,-1,0,2.974993442336277,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Piemonte,0.2594220652878864,0.6587335316617084,-6,2,1,0.2730150825270347,0.8513053348467651,-20,-43,10,3.2237433355571117,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Puglia,0.6675143038779402,1.1266094420600858,0,-5,0,0.9864023968656372,1.5733626051957557,-3,-53,16,2.613018069456573,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Sardegna,0.5237315875613748,0.5774088776614941,1,-11,0,0.39963276988713076,0.5066757959602876,-1,-30,4,2.6048773660823623,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Sicilia,0.7015682112958378,2.3360816647035727,2,-21,6,1.0638413004188267,3.526457399103139,-8,-98,29,2.5778727897456313,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Toscana,0.5231849781409016,1.0535557506584723,-3,-5,1,0.4037915707170781,0.8415921267446941,-13,-45,16,2.808360342051242,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Umbria,0.2672209026128266,0.5905511811023622,0,-2,0,0.30486685032139577,0.80684358899582,-3,-12,1,2.497975565961342,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Valle d'Aosta,0.38684719535783363,1.680672268907563,0,0,0,0.5308289097590854,1.1627906976744187,0,-2,1,4.0503510875149855,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
Veneto,0.132787009636543,0.46770601336302897,-1,-9,0,0.21651288377538047,0.5791870757067973,-11,-46,7,2.730028669063987,0.4925846613281188,0.6797619623590885,-16,-113,28,0.5036042185953881,1.0642497411069118,-116,-861,172,2.9927391498460887
